doi,title,abstract,journal,publisher,label,reason,extra
10.1016/j.cej.2022.134792,Dual interfacial engineering to improve ultraviolet and near-infrared light harvesting for efficient and stable perovskite solar cells,"Chemical Engineering Journal 435 (2022) 134792
Available online 20 January 2022
1385-8947/© 2022 Elsevier B.V. All rights reserved.
Dual interfacial engineering to improve ultraviolet and near-infrared light 
harvesting for efficient and stable perovskite solar cells 
Zhichong Shi a, Donglei Zhou a,*, Yanjie Wu a, Gencai Pan c, Wen Xu a, Nan Wang a, 
Shuainan Liu a, Rui Sun a, Le Liu a, Xinmeng Zhuang a, Yuhong Zhang a, Siyu Lu b, 
Hongwei Song a,* 
a State Key Laboratory of Integrated Optoelectronics, College of Electronic Science and Engineering, Jilin University, Changchun 130012, China 
b College of Chemistry and Molecular Engineering, College of Materials Science and Engineering, Zhengzhou University, Zhengzhou 450000 China 
c School of Physics and Electronics, Henan University, No.1 Jinming Street, Kaifeng 475004, China   
A R T I C L E I N F O  
Keywords: 
Near-infrared 
Quantum dots 
Downconverters 
Perovskite solar cells 
Plasmon 
A B S T R A C T  
The light loss caused by the incomplete utilization of the solar energy spectrum is a key factor that impedes the 
photoelectric conversion efficiency of perovskite solar cells (PSCs). Hence, reducing the light escape through 
enhancing the utilization of ultraviolet (UV) light, and expanding the response of PSCs in the near-infrared (NIR) 
range is the key factor to further improve the photoelectric conversion effi",Chemical Engineering Journal,Elsevier BV,True,Experimental interfacial engineering for single-junction PSCs,False
10.1039/d3tc03097k,Efficiency enhancement of dopant-free perovskite solar cells by employing fluoro-substituted electron donor–electron acceptor type polymeric hole-transporting materials,"15848 | J. Mater. Chem. C, 2023, 11, 15848–15854
This journal is © The Royal Society of Chemistry 2023
Cite this: J. Mater. Chem. C, 2023,
11, 15848
Eﬃciency enhancement of dopant-free perovskite
solar cells by employing fluoro-substituted
electron donor–electron acceptor type polymeric
hole-transporting materials†
Yunxiang Chen,
*ab Xuelin Wang,c Guofeng You,c Simei Huanga and
Hongyu Zhen
*c
For the conventional n–i–p perovskite solar cells (PVSCs), dopant-free hole-transporting polymers can
be employed to achieve high device performances. Herein, two electron donor–electron acceptor (D–A)
type conjugated polymers PBCz-BTz and PBCz-FBTz were developed, in which benzodithiophene
served as the D unit, and benzotriazole without or with fluoro-substituents was used as the A unit.
PBCz-FBTz with fluoro-substituents exhibits a better p–p stacking effect, suitable energy levels, higher
backbone planarity and hole mobility to PBCz-BTz. Thus, the champion device based on PBCz-FBTz
exhibits an outstanding power conversion efficiency of 20.71% and retains over 90% of its original PCE after
being stored under ambient conditions for 30 days. Our work confirms that developing novel polymeric
HTMs with fluoro-substituents is a promising molecular design strategy for highly efficient PVSCs.
1. Introduction
Organic–inorganic metal halide-based perovskite solar cells
(PVSCs) have become one of the fastest growing photovoltaic
technologies in the past few decades.1,2 The power conversion
efficiency (PCE) has risen up to over 25%.3 The rapid develop-
ment is attributed to the excellent photo-electric properties of
perovskite and other functi",Journal of Materials Chemistry C,Royal Society of Chemistry (RSC),True,Experimental HTM optimization for single-junction PSCs,False
10.1002/smtd.202400067,Suppressed Phase Segregation with Small A‐Site and Large X‐Site Incorporation for Photostable Wide‐Bandgap Perovskite Solar Cells,"<jats:title>Abstract</jats:title>
                  <jats:p>Wide‐bandgap (WBG) perovskite solar cells (PSCs) have been widely used as the top cell of tandem solar cells. However, photoinduced phase segregation and high open‐circuit voltage loss pose significant obstacles to the development of WBG PSCs. Here, a two‐step small‐size A‐site and large‐size X‐site incorporation strategy is reported to modulate the lattice distortion and improve the film quality of WBG formamidinium‐methylammonium (FAMA) perovskite films for photostable PSCs based on two‐step deposition method. First, CsI with content of 0–20% is introduced to tune the lattice distortion and film quality of FAMA perovskite with a bandgap of 1.70 eV. Then, 4% RbI is incorporated to further modulate the perovskite growth and lattice distortion, leading to the suppression of photoinduced phase segregation in the resultant RbCsFAMA quadruple cation perovskites. As a result, the 20%CsI/4%RbI‐doped device obtains a promising efficiency of 20.6%, and the corresponding perovskite film shows good photothermal stability. Even without encapsulation, the device can maintain 92% of its initial efficiency after 1000 h of continuous operation under 1 sun equivalent white light‐emitting diode illumination.</jats:p>",Small Methods,Wiley,True,Experimental composition optimization of single-junction PSC,False
10.1016/j.cej.2024.148533,Simultaneous modification of interface and modulation of crystal growth by deep eutectic solvent for FACs-Based perovskite solar cells,"Chemical Engineering Journal 481 (2024) 148533
Available online 4 January 2024
1385-8947/© 2024 Elsevier B.V. All rights reserved.
Simultaneous modification of interface and modulation of crystal growth 
by deep eutectic solvent for FACs-Based perovskite solar cells 
Lingyun Lou , Li Wan , Zhong-Sheng Wang * 
Department of Chemistry, Shanghai Key Laboratory of Molecular Catalysis and Innovative Materials, Laboratory of Advanced Materials, iChEM (Collaborative 
Innovation Center of Chemistry for Energy Materials), Fudan University, 2205 Songhu Road, Shanghai 200438, China   
A R T I C L E I N F O  
Keywords: 
Interface modification 
Crystal growth modulation 
Deep eutectic solvent 
Interaction 
Perovskite solar cell 
A B S T R A C T  
Improving the interface property and crystallographic orientation of perovskite films has been considered as the 
bottleneck to improve the optoelectronic performance of perovskite solar cells (PSCs). However, the precise 
manipulation of preferential crystal orientation by interfacial layers and their underlying impact mechanism on 
the device performance is still not well understood. In this study, deep eutectic solvent (DES), which is prepared 
by mixing choline chloride (Chcl) and propanedioic acid (PA) in a molar ratio of 1:1, is employed as a buried 
interface layer to finely adjust the preferred crystal orientation of the FACs-based perovskite. On the one hand, 
the DES can modify SnO2, which is conducive to improving electron extraction and transport abilities. On the 
other hand, the DES can interact with perovskite by forming coordination bonds, electrostatic interactions, and 
hydrogen bonds, which is beneficial for inducing perovskite crystal orientation along the (100) crystal plane, 
causing reduced trap density and hence retarded non-radiative recombination of PSCs. The preferred crystal 
orientation enhances the quality of the perovskite",Chemical Engineering Journal,Elsevier BV,True,Experimental interface/modulation for single-junction PSC,False
10.1016/j.mseb.2024.117367,New interfacial layer using carbon nanotube and photosystem protein in perovskite solar cells: Efficiency enhancement,"Utilizing bio-hybrid perovskite solar cells (PSC) showed excellent potential due to reaching high performance and being nature-friendly among other kinds of new-age solar cells. Furthermore, plants' photoreceptor organs, especially the photosystem protein complex (PS1) have attracted a lot of attention due to their useful properties such as the complementary absorption spectrum with most photosensors and its non-toxicity, which provides a strong potential for advancing new types of renewable energies. here, utilizing PS1 protein, optimized the absorption spectrum of the PSC in the blue and red wavelength areas (430 nm and 665 nm) which resulted in the PCS enhancement. The PCE of the PSC has been optimized from 17.65 % to 18.95 % by using photosystem protein and carbon nanotubes (CNTs) as an interface layer. alternatively, open circuit voltage (V oc ) increased from 1.04 V to 1.08 V. Also, by using CNTs, the device's external quantum efficiency (EQE) represents an improvement.",Materials Science and Engineering B,Elsevier BV,True,Experimental interfacial layer optimization for single-junction PSC,False
10.1021/acsmaterialslett.4c00022,Constructing Robust Top Heterointerface with Quinoid Polymer for High Performance CsPbI<sub>3</sub> Solar Cells,"The excellent light absorption and nonvolatilization nature of triiodide cesium lead (CsPbI 3 ) make it a promising candidate for high-performance photovoltaics, but the efficiency of CsPbI 3 photovoltaics is still limited by severe open-circuit voltage ( V OC ) loss caused by nonradiative recombination. Herein, a quinoid polymer (named PAQM-TPD) is used as a dual-functional buffer layer to optimize the interface between the perovskite and the hole transport layer for reducing the V OC loss and broadening the light response in CsPbI 3 perovskite solar cells (PSCs). Introducing PAQM-TPD induces Lewis acid–base interactions with CsPbI 3 to form a stable heterointerface on top of the CsPbI 3 crystal, which can passivate defects and extend the spectral response range. In addition, PAQM-TPD featuring high mobility and matching energy-level alignment generated by the CsPbI 3 /PAQM-TPD heterointerface provides a good driving force for hole transport, reducing the energy loss at the interface. Consequently, the comprehensive interface optimization results in the β-CsPbI 3 PSCs achieving an efficiency of 19.98% and the highest current density (20.98 mA cm –2 ), with a low energy loss of 0.496 eV. Long alkyl side chains in the quinoid polymer also prevent water ingress and stabilize the perovskite heterointerface. Devices treated with PAQM-TPD retained 91% of their initial efficiency after 720 h of storage in an ambient air environment.",ACS Materials Letters,American Chemical Society,True,Experimental interface optimization for single‑junction PSCs,False
10.1016/j.cej.2024.156259,Unveiling the role of Cs ion in perovskite phase formation during solid–vapor reactions,"Unveiling the role of Cs ion in perovskite phase formation during 
solid–vapor reactions
Shenghan Hu a,1, Peiran Hou b,1, Changyu Duan a, Shuang Zeng a, Yichen Dou a, Xinyu Deng a,  
Yuxi Zhang b, Jianfeng Lu b, Yi-Bing Cheng a,c, Yong Peng a, Zhiliang Ku a,*
a State Key Laboratory of Advanced Technology for Materials Synthesis and Processing, Wuhan University of Technology, Wuhan 430070, China
b State Key Laboratory of Silicate Materials for Architectures, Wuhan University of Technology, Wuhan 430070, China
c Foshan Xianhu Laboratory of the Advanced Energy Science and Technology Guangdong Laboratory, Foshan 528216, Guangdong Province, China
A R T I C L E I N F O
Keywords:
Cs doping
Thin film
Growth mechanism
Solid-vapor reaction
Perovskite solar cell
A B S T R A C T
The preparation of perovskite solar cells (PSCs) using a solid–vapor reaction has shown great potential due to its 
scalability and lack of organic solvent. The phase formation process in the solid–vapor reaction is crucial for the 
crystallization of perovskite films. Previous studies mainly introduced Cs into the solid–vapor reaction, but 
insufficient attention was paid to the role of Cs in purifying the phase formation path during the crystallization 
process. In this study, we investigated the effect of Cs on the phase formation process in the solid–vapor reaction 
and found that Cs can decrease the crystallin",Chemical Engineering Journal,Elsevier BV,True,Experimental Cs‑doping study for PSC film fabrication,False
10.1016/j.nanoen.2023.108981,Formamidine formate as the multifunctional modulator at buried interface for efficient FAPbI3 perovskite solar cells,"Nano Energy 118 (2023) 108981
Available online 10 October 2023
2211-2855/© 2023 Elsevier Ltd. All rights reserved.
Formamidine formate as the multifunctional modulator at buried interface 
for efficient FAPbI3 perovskite solar cells 
Ya Wang a,b,c,d,1, Bo Zhou e,1, Meidouxue Han a,b,c,d, Juntao Zhao a,b,c,d, Rongbo Wang a,b,c,d, 
Jiawei Zhang a,b,c,d, Huizhi Ren a,b,c,d, Guofu Hou a,b,c,d, Yi Ding a,b,c,d,*, Ying Zhao a,b,c,d 
, Xiaodan Zhang a,b,c,d 
a Institute of Photoelectronic Thin Film Devices and Technology, Renewable Energy Conversion and Storage Center, Solar Energy Conversion Center, Nankai University, 
Tianjin 300350, PR China 
b Key Laboratory of Photoelectronic Thin Film Devices and Technology of Tianjin, Tianjin 300350, PR China 
c Engineering Research Center of Thin Film Photoelectronic Technology of Ministry of Education, Tianjin 300350, PR China 
d Collaborative Innovation Center of Chemical Science and Engineering (Tianjin), Tianjin 300350, PR China 
e Institute of Modern Physics, Shaanxi Key Laboratory for Theoretical Physics Frontiers, Northwest University, Xi’an 710069, PR China   
A R T I C L E I N F O  
Keywords: 
Perovskite solar cell 
Buried interface 
Passivation 
Formamidine formate 
A B S T R A C T  
Interface modification is recognized as an effective strategy to promote the performance of perovskite solar cells 
(PSCs) especially after the thorough optimization on film fabrication process. Device performance is augmented 
considerably by passivating the perovskite surface utilizing variety of materials. On the other hand, buried 
interface revealed a higher defect density than top surface, hence, rational optimization of buried interface is 
getting paramount for the ",Nano Energy,Elsevier BV,True,Experimental interface passivation in FAPbI3 single-junction PSC,False
10.1002/smll.202407706,Cost‐Effective Acetonitrile‐Based Precursor Solution Mitigates Heterogeneous Nucleation for Efficient and Stable Perovskite Solar Cells,"<jats:title>Abstract</jats:title><jats:p>Solution‐processing is the primary method for fabricating high‐efficiency perovskite solar cells (PSCs), where solvent choice critically influences film formation and quality. Although additives can optimize film formation dynamics by balancing nucleation and growth of perovskite, they can also induce heterogeneous nucleation due to competitive coordination and varying crystallization kinetics, leading to compositional heterogeneity and structural disorders. Herein, a perovskite precursor solution is developed using acetonitrile (ACN) as a weak coordination host solvent instead of the traditional <jats:italic>N</jats:italic>,<jats:italic>N</jats:italic>‐dimethylformamide (DMF). The ACN‐based perovskite precursor solution reduces heterogeneous nucleation typically caused by the competitive coordination effect of DMF, and cuts costs by half compared to DMF‐based precursor solutions. This approach promotes a single crystallization pathway via a dimethyl sulfoxide‐solvated intermediate phase to α‐FAPbI<jats:sub>3</jats:sub>, which extends the anti‐solvent operation window, and enhances the crystallinity of perovskite films, and reduces defect states. The power conversion efficiencies (PCE) of 23.62% and 20.13% is achieved for the PSC and minimodule, respectively. The PSC retains over 97% of its initial efficiency after 800 h of continuous illumination under maximum power point tracking (MPPT). These findings provide valuable insights into solvent interactions in perovskite film formation and offer a cost‐effective strategy for improving the device's performance and stability.</jats:p>",Small,Wiley,True,Experimental solvent optimization for single-junction PSCs,False
10.1021/acsaelm.4c01576,Impact of Indium Doping in Lead-Free (CH<sub>3</sub>NH<sub>3</sub>)<sub>3</sub>Bi<sub>2–<i>x</i></sub>In<sub><i>x</i></sub>I<sub>9</sub> Perovskite Photovoltaics for Indoor and Outdoor Light Harvesting,"High Resolution Image Download MS PowerPoint Slide Hybrid halide perovskites (HHPs) have revolutionized the field of solar cells due to their low cost, solution-processable synthesis, and exceptional device performance. Although lead (Pb)-based perovskites are currently the most efficient, their application in indoor photovoltaics and wearable electronics is limited by lead’s toxicity. This has intensified the search for Pb-free alternatives, particularly for use in portable electronic devices. In this study, we utilized a vapor-assisted solution process to systematically engineer the composition of bismuth-based perovskite-inspired materials (PIMs) through indium doping, forming homogeneous and pinhole-free (CH 3 NH 3 ) 3 Bi 2– x In x I 9 (Bi–In) films. These bimetallic Bi–In perovskites exhibit enhanced properties, including high recombination resistance, reduced low-frequency capacitance, lower defect density, and minimal microstrain. Electrochemical impedance spectroscopy (EIS) shows significantly reduced ion migration in Bi–In compositions compared with pure bismuth-based counterparts. The optimized Bi–In-based solar cells achieved a power conversion efficiency (PCE) of 2.5% under outdoor illumination and 5.9% under indoor lighting, showcasing their potential as promising lead-free alternatives for photovoltaic applications.",ACS Applied Electronic Materials,American Chemical Society,True,Experimental Pb‑free single‑junction PSC fabrication and optimization,False
10.1021/acsaem.3c00223,A Semitransparent Silver–Bismuth Iodide Solar Cell with <i>V</i><sub>oc</sub> above 0.8 V for Indoor Photovoltaics,"Because the toxicity of lead (Pb) remains a potential threat to the commercialization of perovskite solar cells, silver–bismuth halides such as AgBiI 4, AgBi 2 I 7, Ag 2 BiI 5, and Ag 3 BiI 6 with band gaps of 1.8–1.9 eV and strong absorption are considered to be promising alternatives to Pb-based perovskites, not only for outdoor (1 Sun) but also for indoor photovoltaics because their band gap matches best with the indoor artificial light spectrum. To date, almost all studies have focused on improving the power conversion efficiency (PCE) under 1 Sun using thick absorber films made on mesoporous electron-transport layers. However, in this work, we aimed at developing optically semitransparent Ag 2 BiI 5 solar cells that can be used indoor or on windows. We studied the effect of the precursor composition on the phase evolution, energy band levels, film morphology, and, eventually, solar cell performance. Through compositional engineering and thickness optimization, we accomplished the fabrication of a thin (∼100 nm Ag 2 BiI 5 ) and semitransparent Ag 2 BiI 5 solar cell that works with a power conversion efficiency of ∼2%, which is greater than many reported with thick and opaque films and slightly lower than the best recorded for Ag 2 BiI 5 . The cell shows an open-circuit voltage ( V oc ) of over 800 mV, the highest reported for Ag 2 BI 5 . More interestingly, while a thicker/opaque cell was found to work with a PCE of 5.0% under 1000 lx, the semitransparent cell shows a reasonable performance of 3.3% under the same light intensity.",ACS Applied Energy Materials,American Chemical Society,True,Experimental semitransparent single-junction perovskite cell study,False
10.1016/j.apsusc.2023.157339,Zr-metal–organic framework based cross-layer-connection additive for stable halide perovskite solar cells,"Applied Surface Science 628 (2023) 157339
Available online 24 April 2023
0169-4332/© 2023 Elsevier B.V. All rights reserved.
Full Length Article 
Zr-metal–organic framework based cross-layer-connection additive for 
stable halide perovskite solar cells 
Jing Zhang a, Beier Hu a,1, Zhongli Guo a, Hongqiang Luo a, Rui Wang a, Mingpo Li a, 
Mengyu Chen a,b,*, Cheng Li a,b,* 
a School of Electronic Science and Engineering, Xiamen University, Xiamen 361005, PR China 
b Future Display Institute of Xiamen, Xiamen 361005, PR China   
A R T I C L E I N F O  
Keywords: 
Cross-layer 
Multi-functional 
Defects 
Passivation 
Perovskites solar cells 
A B S T R A C T  
The poor stability of metal halide perovskite seriously affects the large-scale commercial application of perov­
skite solar cells (PSCs). Here, a large-particle Zr-based metal–organic framework (Zr-MOF), e.g. UiO-66 (NH2), is 
added to the precursor solution of SnO2 electron transport layer (ETL), realizing a cross-layer modification of (1) 
ETL, (2) perovskite active layer and (3) theirs interface simultaneously. We find that the SnO2 particles are 
dispersed into the ordered porous scaffold of Zr-MOF, to form an ETL with improved crystallinity, reduced defect 
states and increased contact area with active perovskite film. Fo",Applied Surface Science,Elsevier BV,True,Experimental additive improves stability of single‑junction PSCs.,False
10.1021/acsmaterialslett.3c01094,Pure Iodide Multication Wide Bandgap Perovskites by Vacuum Deposition,"The CsPbI 3 perovskite has a suitable bandgap (≈1.7 eV) for application in tandem solar cells. One challenge for this compound is that the semiconducting perovskite phase is not stable at room temperature, when it tends to form a yellow nonperovskite phase with a bandgap of approximately 2.8 eV. Therefore, many reports have been focused on the stabilization of the CsPbI 3 black perovskite phase through the use of additives during solution processing. Vacuum deposited CsPbI 3 has been seldom reported, as in this case, the insertion of stabilizing agents is more challenging. In this work, we demonstrate the vacuum processing of CsPbI 3 perovskite films at room temperature, obtained by incorporating dimethylammonium iodide by cosublimation with CsI and PbI 2 . As-prepared films were applied in planar solar cells, leading to an average power conversion efficiency (PCE) exceeding 12%. In order to improve the device performance, we introduced a third A-site cation (methylammonium) in a four-source deposition process. This pure iodide formulation can be used in wide bandgap solar cells with a PCE up to 14.8%.",ACS Materials Letters,American Chemical Society,True,Experimental vacuum-fabricated single-junction PSCs,False
10.1016/j.joule.2022.12.013,In situ crosslinking-assisted perovskite grain growth for mechanically robust flexible perovskite solar cells with 23.4% efficiency,"Article
In situ crosslinking-assisted perovskite grain
growth for mechanically robust ﬂexible
perovskite solar cells with 23.4% efﬁciency
We proposed an in situ crosslinking strategy and carefully designed a functional
monomer for tuning the perovskite growth on plastic substrates. The resultant
ﬂexible perovskite ﬁlms have high crystalline quality and low Young’s modulus.
The resultant ﬂexible pero-SCs with active areas of 0.062 and 1.004 cm2 achieved
record PCEs of 23.4% (certiﬁed 22.9%) and 21.1%, respectively, and showed
excellent mechanical stability.
Yeyong Wu, Guiying Xu, Jiachen
Xi, ..., Ziyuan Chen, Yaowen Li,
Yongfang Li
ywli@suda.edu.cn
Highlights
Enhanced the crystallization of
ﬂexible perovskite
Reduced Young’s modulus of
perovskite ﬁlm
Exhibited record efﬁciency
Exhibited excellent mechanical
stability
Wu et al., Joule 7, 398–415
February 15, 2023 ª 2022 Elsevier Inc.
https://doi.org/10.1016/j.joule.2022.12.013
ll


Article
In situ crosslinking-assisted perovskite grain
growth for mechanically robust ﬂexible perovskite
solar cells with 23.4% efﬁciency
Yeyong Wu,1,5 Guiying Xu,1,5 Jiachen Xi,1 Yunxiu Shen,1 Xiaoxiao Wu,1 Xiaohua Tang,1 Junyuan Ding,1
Heyi Yang,1 Qinrong Cheng,1 Ziyuan Chen,1 Yaowen Li,1,2,3,6,* and Yongfang Li1,2,4
SUMMARY
Flexible perovskite",Joule,Elsevier BV,True,Experimental flexible single-junction PSC fabrication and optimization,False
10.1038/s41467-025-56182-5,Molecular ferroelectric self-assembled interlayer for efficient perovskite solar cells,"The interfacial molecular dipole enhances the photovoltaic performance of perovskite solar cells (PSCs) by facilitating improved charge extraction. However, conventional self-assembled monolayers (SAMs) face challenges like inadequate interface coverage and weak dipole interactions. Herein, we develop a strategy using a self-assembled ferroelectric layer to modify the interfacial properties of PSCs. Specifically, we employ 1-adamantanamine hydroiodide (ADAI) to establish robust chemical interactions and create a dipole layer over the perovskite. The oriented molecular packing and spontaneous polarity of ferroelectric ADAI generate a substantial interfacial dipole, adjusting band bending at the anode, reducing band misalignment, and suppressing charge recombination. Consequently, our formamidinium lead iodide-based conventional PSC achieves efficiencies of 25.13% (0.06 cm2) and 23.5% (1.00 cm2) while exhibiting enhanced stability. Notably, we demonstrate an impressive efficiency of 25.59% (certified at 25.36%) in a 0.06 cm2 area for the inverted champion device, showcasing the promise of ferroelectric SAMs for PSCs performance enhancement. The conventional approach with applying self-assembled monolayer suffers from limited interface coverage and weaker dipole interactions. Here, authors employ ferroelectric molecule to construct a dipole layer, achieving certified efficiency of 25.36% for inverted perovskite solar cells.",Nature Communications,Nature Portfolio,True,Experimental interlayer optimization for single-junction PSCs,False
10.1016/j.mtchem.2021.100557,Novel ytterbium-doped CsPbI2Br thin-films–based inorganic perovskite solar cells toward improved phase stability,"Abstract In this study, we used ytterbium (Yb2+) as a dopant in the CsPbI2Br inorganic perovskite thin film and stabilized its black phase. Here, we varied the Yb2+ doping concentration in the CsPb1−xYbxI2Br (x = 0–0.04) perovskite phase through simple solution method. The optimum concentration of Yb2+ showed improved morphology and crystal growth. The fabricated all-inorganic perovskite solar cells (IPVSCs) having CsPb0.97Yb0.03I2Br-based champion device showed the highest 15.41% power conversion efficiency (PCE) for a small area of 0.09 cm2 and 14.04% PCE for a large area of 1 × 1 cm2 with excellent reproducibility, which is higher than the controlled CsPbI2Br device. Detailed photovoltaic analysis revealed that the PCE, open-circuit voltage (VOC), short circuit current density (JSC) and fill factor (FF) of the final IPVSC device attributed to the suppressed charge recombination, better film quality, and well growth orientation of the perovskite film. Moreover, the champion CsPb0.97Yb0.03I2Br device retains >85% initial efficiency after 280 h under 85 °C thermal annealings. Our results provide a new method to boost the performance of the photovoltaic application.",Materials Today Chemistry,Elsevier BV,True,Experimental doping optimization of single-junction PSC,False
10.1016/j.jpowsour.2020.228818,Non-equivalent Tl doping for high performance perovskite solar cells: Crystal quality improvement with enhanced p-type character,"Abstract Organic–inorganic hybrid perovskite solar cells, whose highest power conversion efficiency (PCE) already exceeds 25%, have been attracting considerable attention. However, there are still various challenges, such as their low repeatability, large number of intrinsic defects, and low environmental stability. In this study, we dope monovalent thallium (Tl+) into the precursor to form a pinhole-free perovskite film with improved photo-voltaic performance and environmental stability. The incorporation of Tl+ into CH3NH3PbI3 can improve the crystal quality of perovskite film by adjusting the rate of crystalline growth. Due to the non-equivalent doping of Tl+, the Fermi level is lowered by 0.31 eV toward the highest occupied molecular orbital, indicating that Tl behaves as a p-type dopant. An improved carrier dynamics and balanced charge transportation can be observed in MAPb0.99Tl0.01I3. After the doping of 1 mol% Tl into the perovskite film, the average PCE of the cells is increased from 15.1 to 17.8%. Furthermore, the thallium-doped perovskite solar cell exhibits outstanding environmental stability because of the improved moisture resistance. After 200 h of storage under ambient conditions, the Tl-doped perovskite solar cell retains 82.7% of its initial power conversion efficiency, which is higher than the retention of the intrinsic perovskite device (55.9%).",Journal of Power Sources,Elsevier BV,True,Experimental Tl doping improves single-junction PSC performance,False
10.1002/adfm.202410165,In situ Ligand‐Managed SnO<sub>2</sub> Electron Transport Layer for High‐Efficiency and Stable Perovskite Solar Cells,"<jats:title>Abstract</jats:title><jats:p>Tin oxide (SnO<jats:sub>2</jats:sub>) with high conductivity and excellent photostability has been considered as one of the most promising materials for efficient electron transport layer (ETL) in perovskite solar cells (PSCs). Among them, SnO<jats:sub>2</jats:sub> nanoparticles (NPs) dispersions have been extensively utilized due to their facile film formation. However, the inherent defects and agglomeration issues of SnO<jats:sub>2</jats:sub> NPs, as well as the limited tunability and instability of the post‐treatment process for surface/interface engineering strategy, still hinder its further applications. Herein, a ligand‐management strategy implemented during the in situ synthesis of NPs that can effectively achieve uniform modification of NPs is proposed. During the synthesis of SnO<jats:sub>2</jats:sub> NPs, the grafting reaction between diethyl 2‐chloromalonate (DCMA) and the surface of SnO<jats:sub>2</jats:sub> NPs is completed. Compared with the post‐treatment process, this intrinsic DCMA‐passivated SnO<jats:sub>2</jats:sub> (DCMA‐SnO<jats:sub>2</jats:sub>) effectively reduces the trap state density at the interface between perovskite and ETL while enhancing surface chemical stability. Consequently, PSCs based on DCMA‐SnO<jats:sub>2</jats:sub> achieve a champion PCE of 25.39% for small cells (active area of 0.0655 cm<jats:sup>2</jats:sup>) and 20.61% for solar modules (active area of 23.25 cm<jats:sup>2</jats:sup>), demonstrating excellent shelf‐life/light soaking stability (advanced level of ISOS stability protocols). This ligand‐management strategy exhibits significant application potential in preparing high‐efficiency large‐area PSCs.</jats:p>",Advanced Functional Materials,Wiley,True,Experimental ETL optimization for single-junction PSCs,False
10.1002/advs.202407401,Tailoring Crystal Growth Regulation and Dual Passivation for Air‐Processed Efficient Perovskite Solar Cells,"<jats:title>Abstract</jats:title>
                  <jats:p>
                    Hybrid metal halide perovskite solar cells (PSCs) are emerging as highly competitive next‐generation photovoltaics due to their excellent performance and low production cost. However, the construction of high‐efficiency PSCs typically requires an inert nitrogen environment within a glove box, inadvertently increasing manufacturing costs and hindering the transition from lab‐scale to industrial‐scale production. In this work, an air ambient fabrication of pure α‐phase FAPbI
                    <jats:sub>3</jats:sub>
                    PSCs with high‐efficiency and stability, utilizing a dual‐functional engineering strategy assisted by 3‐Guanidinopropionicacid (3‐GuA) is reported. 3‐GuA assists in managing excess PbI
                    <jats:sub>2</jats:sub>
                    and promotes the formation of high‐quality FAPbI
                    <jats:sub>3</jats:sub>
                    films via intermolecular exchange. Simultaneously, the existence of 3‐GuA minimizes the defects and stabilizes the resulting perovskite films. As a result, the ambient‐air fabricated PSCs achieve a power conversion efficiency (PCE) of 24.2% with negligible hysteresis and excellent stability. Additionally, these devices demonstrate superior reproducibility, offering valuable guidance for future advancements in this technology.
                  </jats:p>",Advanced Science,Wiley,True,Experimental air-processed single-junction PSC fabrication and passivation,False
10.1016/j.apsusc.2025.163473,Regulation of the low-temperature processed TiO2 buried interface to enhance the efficiency of CsPbI2Br-based all-inorganic perovskite solar cells,"Full Length Article
Regulation of the low-temperature processed TiO2 buried interface to 
enhance the efficiency of CsPbI2Br-based all-inorganic perovskite solar cells
Hengzhuo Cai a, Shengcheng Wu a, Zixi Liu a, Junfeng Lin a, Xubing Lu a, Xingsen Gao a,  
Jun-Ming Liu b, Sujuan Wu a,*
a Guangdong Provincial Key Laboratory of Quantum Engineering and Quantum Materials, South China Academy of Advanced Optoelectronics, South China Normal 
University, Guangzhou 510006, China
b Laboratory of Solid State Microstructures, Nanjing University, Nanjing 210093, China
A R T I C L E I N F O
Keywords:
All-inorganic CsPbI2Br perovskite solar cells
Zinc acetate
TiO2/perovskite buried interface
Open-circuit voltage loss, photovoltaic 
performance
A B S T R A C T
All-inorganic CsPbIxBr3-x perovskite solar cells (PSCs) exhibit excellent thermal stability and high efficiency, but 
their power conversion efficiency (PCE) remains lower than that of organic–inorganic hybrid PSCs. This is pri­
marily due to the significant open-circuit voltage (Voc) loss at the buried interface of electron transport layer 
(ETL) and perovskite film. Moreover, low-temperature processed TiO2 ETL simultaneously suffers from more 
trap-states which will deteriorate the PCE and stability of PSCs. To solve these issues, zinc acetate (Zn(OAc)2) is 
employed to optimize the TiO2/CsPbI2Br buried interface to reduce the Voc loss and improve the PCE and device 
stability. This Zn(OAc)2 interfacial modification0020increases the Voc about 90 m V from 1.159 V to 1.248 V. 
Consequently, Zn(OAc)2-modified CsPbI2Br PSCs (Target I-PSCs) achieve a champion PCE of 14.91 % with a fill 
factor over than 80 %, which is significantly higher than the 12.25 % o",Applied Surface Science,Elsevier BV,True,Experimental interface optimization of single-junction PSC,False
